開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註,學期
383,PCC0064,心輔系（碩）,,,碩博,,,,心理衡鑑專題研究,Special Topics in Psychological  Assessment,3.0,選,半,陳秀蓉,一 6-8 本部 教500,50,21,◎課程不開放上修,,1112
385,PCC0073,心輔系（碩）,,,碩博,,,,認知與情緒,Cognition and Emotion,3.0,選,半,陳學志,四 8-10 本部 教育學院第1會議室,50,34,◎課程不開放上修,,1112
388,PCC0116,心輔系（碩）,,,碩博,,,,青少年心理學研究,Studies in Adolescent Psychology,3.0,選,半,程景琳,一 6-8 本部 教600,50,11,◎課程不開放上修,,1112
465,SPC0033,特教系（碩）,,,碩博,,,,情緒障礙專題研究,Special Topics on Emotional and Behavioral Disorders,3.0,選,半,洪儷瑜,二 10-B 本部 特116,30,11,◎課程開放上修,,1112
642,PCC9001,心輔系（學）,,,大碩,,,,生態系統合作實務,Ecological Collaboration Practice,2.0,選,半,王麗斐,四 3-4 本部 教育學院第1會議室,50,29,◎必須先修過【PCU0146  學校輔導工作】,,1112
672,SOU0127,社教系（學）,,,,,,,文教節目企劃與製作,Planning and Production of Cultural and Educational Programs,3.0,選,半,侯志欽,二 2-4 本部 教714,30,27,,此課程為大三選修,1112
673,SOU0138,社教系（學）,,,,,,,生命敘說與故事行銷,Life Narrative and Storytelling Marketing,2.0,選,半,徐敏雄,一 3-4 本部 誠302,50,50,,此課程為大四選修課程,1112
674,SOU0139,社教系（學）,,,,,,,傳統文化與現代生活,Traditional Culture and Modern Life,2.0,選,半,陳仲彥,四 3-4 本部 誠302,50,51,,此課程為大二選修,1112
675,SOU0055,社教系（學）,,1.0,,,,,數位攝影與後製作,Digital Image Process,2.0,選,半,華志中,五 8-9 本部 教103,50,50,,,1112
676,SOU0137,社教系（學）,,1.0,,,,,中華典籍與傳統文化,Chinese Classics & Traditional Culture,2.0,選,半,陳仲彥,二 3-4 本部 誠302,50,48,,,1112
677,SOU5005,社教系（學）,,1.0,,,,,社會問題,Social Problems,2.0,選,半,王美文,二 6-7 本部 誠208,50,70,,,1112
678,SOU5029,社教系（學）,,1.0,,,,,社區教育,Community Education,2.0,必,半,張德永,二 8-9 本部 誠208,50,64,,,1112
679,SOU5061,社教系（學）,,1.0,,,,,社會心理學,Social Psychology,3.0,必,半,王雅鈴,四 6-8 本部 誠208,50,62,,,1112
680,SOU0061,社教系（學）,,2.0,,,,,博物館教育,Museum Education,3.0,選,半,蔡怡怡,五 2-4 本部 誠302,50,50,,,1112
681,SOU0097,社教系（學）,,2.0,,,,,文化創意產業導論,Introduction to Culture Creative Industry,2.0,必,半,廖世璋,四 8-9 本部 樸401,50,55,,,1112
