開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註,學期
6150,AAM1561,校際臺大（碩）,C,,,,,,應用力學實驗一,Experiments on Applied Mechanics (I),3.0,選,半,沈弘俊,,0,0,◎課程開放上修 ◎加退選全授權碼選課,工學院 ; 應用力學研究所 ; 上課時間另定。本課程需先修過寒假或暑假金工實習且成績及格者方能選課。 ; 限修學制：大、碩、博,1112
6151,AAM1562,校際臺大（碩）,A,,,,,,應用力學實驗二,Experiments on Applied Mechanics (II),3.0,選,半,林哲宇,,0,0,◎課程不開放上修 ◎加退選全授權碼選課,工學院 ; 應用力學研究所 ; 上課時間另定。本課程需先修過寒假或暑假金工實習且成績及格者方能選課。 ; 限修學制：博,1112
6152,AAM1563,校際臺大（碩）,A,,,,,,應用物理專題討論二,Seminar in Applied Physics (II),1.0,選,半,陳凱風,二 7-8 請洽系所辦,0,0,◎課程不開放上修 ◎加退選全授權碼選課,理學院 ; 應用物理學研究所 ; 在新物104上課 ; 限修學制：碩,1112
6154,AAM1564,校際臺大（碩）,A,,,是,,,應用基因體學專題討論,Seminar in Applied Genomics,2.0,選,半,鄭佳宜,,0,0,◎課程不開放上修 ◎加退選全授權碼選課 ◎初選不開放,生命科學院 ; 生命科學所 ; 初選不開放．時地另訂。請於開學前向授課教師查詢。 ; 限修學制：碩,1112
6155,AAM1565,校際臺大（碩）,A,,,,,,應用塑性力學,Applied Plasticity,3.0,選,半,陳復國,五 7-9 工綜207,0,0,◎課程不開放上修 ◎加退選全授權碼選課,工學院 ; 機械工程學研究所 ;   限修學制：碩,1112
6156,AAM1566,校際臺大（碩）,A,,,是,,,應用暨食品微生物論文研究與寫作,Study and Writing in Applied and Food Microbiology,2.0,選,半,鄭光成,三 1-2 請洽系所辦,0,0,◎課程不開放上修 ◎加退選全授權碼選課 ◎初選不開放,生物資源暨農學院 ; 生物科技研究所 ; 初選不開放．上課地點	食科所R222 ; 限修學制：碩,1112
4710,AAM1567,校際臺大（碩）,A,,,,,,轉型正義與集體記憶,Transitional Justice and Collective Memory,3.0,選,半,汪宏倫,四 8-10 請洽系所辦,1,0,◎課程開放上修 ◎加退選全授權碼選課,社會科學院 ; 社會學研究所 ; 教室:中研院社會所904室 ; 限修學制：大三以上、碩、博,1112
6178,AAM1569,校際臺大（碩）,A,,,,,,離散事件模擬與實作,Discrete-Event Simulation and Implementation,3.0,選,半,楊烽正,二 2-4 國青235,0,0,◎課程不開放上修 ◎加退選全授權碼選課,工學院 ; 工業工程學研究所 ; 須修過基礎程式語言 ; 限修學制：碩,1112
4728,AAM1570,校際臺大（碩）,A,,,,,,警察法專題研究一,Seminar on Police Law (I),2.0,選,半,林明鏘,二 6-7 霖研五1702,1,0,◎課程不開放上修 ◎加退選全授權碼選課,法律學院 ; 法律研究所 ;   限修學制：碩、博,1112
4729,AAM1571,校際臺大（碩）,A,,,,,,警察法專題研究二,Seminar on Police Law (II),2.0,選,半,林明鏘,二 6-7 請洽系所辦,1,0,◎課程不開放上修 ◎必須先修過警察法專題研究一】 ◎加退選全授權碼選課,法律學院 ; 法律研究所 ; 教室:霖研四1702。 ; 限修學制：碩、博,1112
6188,AAM1573,校際臺大（碩）,A,,,是,,,體感覺神經科學,Neuroscience of Somatosensory Systems (2 credit hours,2.0,選,半,曾明宗,,0,0,◎課程不開放上修 ◎加退選全授權碼選課,醫學院 ; 腦與心智科學研究所 ;   限修學制：碩、博,1112
3841,AAM1586,校際臺大（碩）,A,,,,,,刑事訴訟法專題研究一,Seminar on Criminal Procedure (I),2.0,選,半,林鈺雄,二 3-4 霖研四1701,2,0,◎課程開放上修 ◎加退選全授權碼選課,法律學院 ; 法律研究所 ;   限修學制：大三以上、碩、博,1112
3842,AAM1587,校際臺大（碩）,A,,,,,,刑事訴訟法專題研究二,Seminar on Criminal Procedure (II),2.0,選,半,林鈺雄,二 3-4 請洽系所辦,2,0,◎課程開放上修 ◎必須先修過刑事訴訟法專題研究一】 ◎加退選全授權碼選課,法律學院 ; 法律研究所 ; 教室：霖研四1701。 ; 限修學制：大三以上、碩、博,1112
3977,AAM1596,校際臺大（碩）,A,,,,,,法理學專題研究一,Seminar on Jurisprudence (I),2.0,選,半,顏厥安,二 8-9 霖研六1703,2,0,◎課程不開放上修,法律學院 ; 法律研究所 ;   限修學制：碩,1112
3978,AAM1597,校際臺大（碩）,A,,,,,,法理學專題研究二,Seminar on Jurisprudence (II),2.0,選,半,顏厥安,二 8-9 請洽系所辦,2,0,◎課程不開放上修 ◎必須先修過法理學專題研究一】,法律學院 ; 法律研究所 ; 教室:霖研六1703。 ; 限修學制：碩,1112
4412,AAM1611,校際臺大（碩）,A,,,是,,,腫瘤遺傳暨演化學,Tumor Genetics and Evolution,2.0,選,半,洪維廷,一 6-7 基醫508,1,0,◎課程不開放上修,醫學院 ; 基因體暨蛋白體醫學研究所 ; 上課地點：基醫508（醫學院未來教室）。 ; 限修學制：碩,1112
4552,AAM1622,校際臺大（碩）,A,,,,,,歐盟莫內講座-金融政策：歐洲觀點,EU Jean Monnet Chair-Financial Policy: A European Perspective,3.0,選,半,葉國俊,三 2-4 國發302,5,0,◎課程開放上修 ◎加退選全授權碼選課,社會科學院 ; 國家發展研究所 ;   限修學制：大三以上、碩、博,1112
4553,AAM1623,校際臺大（碩）,A,,,,,,歐盟莫內講座-歐盟當前政經議題研討,EU Jean Monnet Chair- Seminar on EU’s Instantaneous Events,2.0,選,半,葉國俊,四 7-8 國發302,5,0,◎課程開放上修 ◎加退選全授權碼選課,社會科學院 ; 國家發展研究所 ;   限修學制：大三以上、碩、博,1112
5037,AAM1662,校際臺大（碩）,A,,,,,,刑罰思想史專題研究三,Seminar on Intellectual History of Criminal Punishment (III),2.0,選,半,許?達,一 6-7 請洽系所辦,0,0,◎課程不開放上修 ◎加退選全授權碼選課,法律學院 ; 法律研究所 ; 教室:霖1402。 ; 限修學制：碩、博,1112
5074,AAM1670,校際臺大（碩）,A,,,,,,行銷研究,Marketing Research,3.0,選,半,柯冠州,五 2-4 管二302,0,0,◎課程不開放上修 ◎加退選全授權碼選課,管理學院 ; 商學研究所 ;   限修學制：碩、博,1112
5760,AAM1727,校際臺大（碩）,A,,,,,,智慧財產權法專題研究一,Seminar on Intellectual Property Rights Law (I),2.0,選,半,謝銘洋,二 10-A 霖研四1701,0,0,◎課程不開放上修 ◎加退選全授權碼選課,法律學院 ; 法律研究所 ;   限修學制：碩,1112
5761,AAM1728,校際臺大（碩）,A,,,,,,智慧財產權法專題研究二,Seminar  on  Intellectual  Property Rights  Law (II),2.0,選,半,謝銘洋,二 10-A 請洽系所辦,0,0,◎課程不開放上修 ◎加退選全授權碼選課,法律學院 ; 法律研究所 ; 教室:霖研四1701。 ; 限修學制：碩,1112
5762,AAM1729,校際臺大（碩）,A,,,,,,智慧財產權法專題研究三,Seminar on Intellectual Property Rights Law (III),2.0,選,半,謝銘洋,二 10-A 請洽系所辦,0,0,◎課程不開放上修 ◎加退選全授權碼選課,法律學院 ; 法律研究所 ; 教室:霖研四1701。 ; 限修學制：碩,1112
5781,AAM1738,校際臺大（碩）,A,,,,,,稅法專題研究二,Seminar on Tax Law (II),2.0,選,半,柯格鐘,二 8-9 請洽系所辦,0,0,◎課程不開放上修 ◎加退選全授權碼選課,法律學院 ; 法律研究所 ; 教室：霖1506。以具有稅捐法律基礎知識或實務經驗者修習為佳 ; 限修學制：碩、博,1112
3630,AAM1777,校際臺大（碩）,A,,,,,,Python與文字探勘專題,Seminar on Python and Text-mining,2.0,選,半,鄧志松,四 3-4 國發302,1,1,◎課程不開放上修 ◎加退選全授權碼選課,社會科學院 ; 國家發展研究所 ;   限修學制：碩,1112
3633,AAM1778,校際臺大（碩）,A,,,,,,《淮南子》與公民哲學,Huainanzi and Civil Philosophy,3.0,選,半,林明照,三 2-4 哲研討室一,1,0,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 哲學研究所 ; 研究所：道家領域、D領域。  大學部：(A)東方哲學史群組。 ; 限修學制：碩,1112
3634,AAM1779,校際臺大（碩）,A,,,,,,《聊齋誌異》專題,Seminar on Liaozhai zhiyi,3.0,選,半,陳翠英,一 7-9 博雅309,1,1,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 中國文學研究所 ;   限修學制：碩、博,1112
3652,AAM1780,校際臺大（碩）,A,,,,,,上古音研究,The Study on Primitive Phonology,2.0,選,半,徐芳敏,二 1-2 文17,1,1,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 中國文學研究所 ;   限修學制：碩、博,1112
